relation,display_relation,x_index,x_id,x_type,x_name,x_source,y_index,y_id,y_type,y_name,y_source,umls_cui_from_meddra,recommended_name,cosine_similarity
indication,indication,16687,DB00492,drug,Fosinopril,DrugBank,33577,5044,disease,hypertensive disorder,MONDO,C0857121,Hypertensive,0.9662782451589347
indication,indication,16687,DB00492,drug,Fosinopril,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped,C0020538,Hypertension,0.9999999999999998
indication,indication,20297,DB11783,drug,Imidapril,DrugBank,33577,5044,disease,hypertensive disorder,MONDO,C0857121,Hypertensive,0.9662782451589347
indication,indication,20297,DB11783,drug,Imidapril,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped,C0020538,Hypertension,0.9999999999999998
indication,indication,16693,DB01340,drug,Cilazapril,DrugBank,33577,5044,disease,hypertensive disorder,MONDO,C0857121,Hypertensive,0.9662782451589347
indication,indication,16693,DB01340,drug,Cilazapril,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped,C0020538,Hypertension,0.9999999999999998
indication,indication,14944,DB00381,drug,Amlodipine,DrugBank,33577,5044,disease,hypertensive disorder,MONDO,C0857121,Hypertensive,0.9662782451589347
indication,indication,14944,DB00381,drug,Amlodipine,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped,C0020538,Hypertension,0.9999999999999998
indication,indication,15762,DB00519,drug,Trandolapril,DrugBank,33577,5044,disease,hypertensive disorder,MONDO,C0857121,Hypertensive,0.9662782451589347
indication,indication,15762,DB00519,drug,Trandolapril,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped,C0020538,Hypertension,0.9999999999999998
indication,indication,14836,DB00178,drug,Ramipril,DrugBank,33577,5044,disease,hypertensive disorder,MONDO,C0857121,Hypertensive,0.9662782451589347
indication,indication,14836,DB00178,drug,Ramipril,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped,C0020538,Hypertension,0.9999999999999998
indication,indication,14421,DB09229,drug,Aranidipine,DrugBank,33577,5044,disease,hypertensive disorder,MONDO,C0857121,Hypertensive,0.9662782451589347
indication,indication,14421,DB09229,drug,Aranidipine,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped,C0020538,Hypertension,0.9999999999999998
indication,indication,14835,DB00542,drug,Benazepril,DrugBank,33577,5044,disease,hypertensive disorder,MONDO,C0857121,Hypertensive,0.9662782451589347
indication,indication,14835,DB00542,drug,Benazepril,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped,C0020538,Hypertension,0.9999999999999998
indication,indication,16214,DB08822,drug,Azilsartan medoxomil,DrugBank,33577,5044,disease,hypertensive disorder,MONDO,C0857121,Hypertensive,0.9662782451589347
indication,indication,16214,DB08822,drug,Azilsartan medoxomil,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped,C0020538,Hypertension,0.9999999999999998
indication,indication,14327,DB01275,drug,Hydralazine,DrugBank,33577,5044,disease,hypertensive disorder,MONDO,C0857121,Hypertensive,0.9662782451589347
indication,indication,14327,DB01275,drug,Hydralazine,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped,C0020538,Hypertension,0.9999999999999998
indication,indication,14255,DB00881,drug,Quinapril,DrugBank,33577,5044,disease,hypertensive disorder,MONDO,C0857121,Hypertensive,0.9662782451589347
indication,indication,14255,DB00881,drug,Quinapril,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped,C0020538,Hypertension,0.9999999999999998
indication,indication,16694,DB01348,drug,Spirapril,DrugBank,33577,5044,disease,hypertensive disorder,MONDO,C0857121,Hypertensive,0.9662782451589347
indication,indication,16694,DB01348,drug,Spirapril,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped,C0020538,Hypertension,0.9999999999999998
indication,indication,20301,DB13312,drug,Delapril,DrugBank,33577,5044,disease,hypertensive disorder,MONDO,C0857121,Hypertensive,0.9662782451589347
indication,indication,20301,DB13312,drug,Delapril,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped,C0020538,Hypertension,0.9999999999999998
indication,indication,14846,DB00790,drug,Perindopril,DrugBank,33577,5044,disease,hypertensive disorder,MONDO,C0857121,Hypertensive,0.9662782451589347
indication,indication,14846,DB00790,drug,Perindopril,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped,C0020538,Hypertension,0.9999999999999998
indication,indication,16699,DB13166,drug,Zofenopril,DrugBank,33577,5044,disease,hypertensive disorder,MONDO,C0857121,Hypertensive,0.9662782451589347
indication,indication,16699,DB13166,drug,Zofenopril,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped,C0020538,Hypertension,0.9999999999999998
indication,indication,14152,DB00310,drug,Chlorthalidone,DrugBank,33577,5044,disease,hypertensive disorder,MONDO,C0857121,Hypertensive,0.9662782451589347
indication,indication,14152,DB00310,drug,Chlorthalidone,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped,C0020538,Hypertension,0.9999999999999998
indication,indication,16690,DB00722,drug,Lisinopril,DrugBank,33577,5044,disease,hypertensive disorder,MONDO,C0857121,Hypertensive,0.9662782451589347
indication,indication,16690,DB00722,drug,Lisinopril,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped,C0020538,Hypertension,0.9999999999999998
indication,indication,16698,DB09477,drug,Enalaprilat,DrugBank,33577,5044,disease,hypertensive disorder,MONDO,C0857121,Hypertensive,0.9662782451589347
indication,indication,16698,DB09477,drug,Enalaprilat,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped,C0020538,Hypertension,0.9999999999999998
indication,indication,14200,DB00584,drug,Enalapril,DrugBank,33577,5044,disease,hypertensive disorder,MONDO,C0857121,Hypertensive,0.9662782451589347
indication,indication,14200,DB00584,drug,Enalapril,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped,C0020538,Hypertension,0.9999999999999998
indication,indication,15426,DB00270,drug,Isradipine,DrugBank,33577,5044,disease,hypertensive disorder,MONDO,C0857121,Hypertensive,0.9662782451589347
indication,indication,15426,DB00270,drug,Isradipine,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped,C0020538,Hypertension,0.9999999999999998
indication,indication,15108,DB00590,drug,Doxazosin,DrugBank,33577,5044,disease,hypertensive disorder,MONDO,C0857121,Hypertensive,0.9662782451589347
indication,indication,15108,DB00590,drug,Doxazosin,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped,C0020538,Hypertension,0.9999999999999998
indication,indication,17278,DB12465,drug,Ketanserin,DrugBank,33577,5044,disease,hypertensive disorder,MONDO,C0857121,Hypertensive,0.9662782451589347
indication,indication,17278,DB12465,drug,Ketanserin,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped,C0020538,Hypertension,0.9999999999999998
indication,indication,14762,DB00436,drug,Bendroflumethiazide,DrugBank,33577,5044,disease,hypertensive disorder,MONDO,C0857121,Hypertensive,0.9662782451589347
indication,indication,14762,DB00436,drug,Bendroflumethiazide,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped,C0020538,Hypertension,0.9999999999999998
indication,indication,14308,DB01136,drug,Carvedilol,DrugBank,33577,5044,disease,hypertensive disorder,MONDO,C0857121,Hypertensive,0.9662782451589347
indication,indication,14308,DB01136,drug,Carvedilol,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped,C0020538,Hypertension,0.9999999999999998
indication,indication,14984,DB01023,drug,Felodipine,DrugBank,33577,5044,disease,hypertensive disorder,MONDO,C0857121,Hypertensive,0.9662782451589347
indication,indication,14984,DB01023,drug,Felodipine,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped,C0020538,Hypertension,0.9999999999999998
indication,indication,15451,DB00612,drug,Bisoprolol,DrugBank,33577,5044,disease,hypertensive disorder,MONDO,C0857121,Hypertensive,0.9662782451589347
indication,indication,15451,DB00612,drug,Bisoprolol,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped,C0020538,Hypertension,0.9999999999999998
indication,indication,15175,DB01580,drug,Oxprenolol,DrugBank,33577,5044,disease,hypertensive disorder,MONDO,C0857121,Hypertensive,0.9662782451589347
indication,indication,15175,DB01580,drug,Oxprenolol,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped,C0020538,Hypertension,0.9999999999999998
indication,indication,14946,DB00401,drug,Nisoldipine,DrugBank,33577,5044,disease,hypertensive disorder,MONDO,C0857121,Hypertensive,0.9662782451589347
indication,indication,14946,DB00401,drug,Nisoldipine,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped,C0020538,Hypertension,0.9999999999999998
indication,indication,15079,DB00195,drug,Betaxolol,DrugBank,33577,5044,disease,hypertensive disorder,MONDO,C0857121,Hypertensive,0.9662782451589347
indication,indication,15079,DB00195,drug,Betaxolol,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped,C0020538,Hypertension,0.9999999999999998
indication,indication,16303,DB01162,drug,Terazosin,DrugBank,33577,5044,disease,hypertensive disorder,MONDO,C0857121,Hypertensive,0.9662782451589347
indication,indication,16303,DB01162,drug,Terazosin,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped,C0020538,Hypertension,0.9999999999999998
indication,indication,14317,DB01197,drug,Captopril,DrugBank,33577,5044,disease,hypertensive disorder,MONDO,C0857121,Hypertensive,0.9662782451589347
indication,indication,14317,DB01197,drug,Captopril,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped,C0020538,Hypertension,0.9999999999999998
indication,indication,15580,DB06762,drug,Pinacidil,DrugBank,33577,5044,disease,hypertensive disorder,MONDO,C0857121,Hypertensive,0.9662782451589347
indication,indication,15580,DB06762,drug,Pinacidil,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped,C0020538,Hypertension,0.9999999999999998
indication,indication,17647,DB00657,drug,Mecamylamine,DrugBank,33577,5044,disease,hypertensive disorder,MONDO,C0857121,Hypertensive,0.9662782451589347
indication,indication,17647,DB00657,drug,Mecamylamine,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped,C0020538,Hypertension,0.9999999999999998
indication,indication,16793,DB00880,drug,Chlorothiazide,DrugBank,33577,5044,disease,hypertensive disorder,MONDO,C0857121,Hypertensive,0.9662782451589347
indication,indication,16793,DB00880,drug,Chlorothiazide,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped,C0020538,Hypertension,0.9999999999999998
indication,indication,14276,DB00999,drug,Hydrochlorothiazide,DrugBank,33577,5044,disease,hypertensive disorder,MONDO,C0857121,Hypertensive,0.9662782451589347
indication,indication,14276,DB00999,drug,Hydrochlorothiazide,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped,C0020538,Hypertension,0.9999999999999998
indication,indication,15245,DB11770,drug,Talinolol,DrugBank,33577,5044,disease,hypertensive disorder,MONDO,C0857121,Hypertensive,0.9662782451589347
indication,indication,15245,DB11770,drug,Talinolol,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped,C0020538,Hypertension,0.9999999999999998
indication,indication,15186,DB04846,drug,Celiprolol,DrugBank,33577,5044,disease,hypertensive disorder,MONDO,C0857121,Hypertensive,0.9662782451589347
indication,indication,15186,DB04846,drug,Celiprolol,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped,C0020538,Hypertension,0.9999999999999998
indication,indication,14133,DB00214,drug,Torasemide,DrugBank,33577,5044,disease,hypertensive disorder,MONDO,C0857121,Hypertensive,0.9662782451589347
indication,indication,14133,DB00214,drug,Torasemide,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped,C0020538,Hypertension,0.9999999999999998
indication,indication,14959,DB00622,drug,Nicardipine,DrugBank,33577,5044,disease,hypertensive disorder,MONDO,C0857121,Hypertensive,0.9662782451589347
indication,indication,14959,DB00622,drug,Nicardipine,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped,C0020538,Hypertension,0.9999999999999998
indication,indication,17344,DB02925,drug,Piretanide,DrugBank,33577,5044,disease,hypertensive disorder,MONDO,C0857121,Hypertensive,0.9662782451589347
indication,indication,17344,DB02925,drug,Piretanide,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped,C0020538,Hypertension,0.9999999999999998
indication,indication,19223,DB01626,drug,Pargyline,DrugBank,33577,5044,disease,hypertensive disorder,MONDO,C0857121,Hypertensive,0.9662782451589347
indication,indication,19223,DB01626,drug,Pargyline,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped,C0020538,Hypertension,0.9999999999999998
indication,indication,14809,DB00968,drug,Methyldopa,DrugBank,33577,5044,disease,hypertensive disorder,MONDO,C0857121,Hypertensive,0.9662782451589347
indication,indication,14809,DB00968,drug,Methyldopa,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped,C0020538,Hypertension,0.9999999999999998
indication,indication,17308,DB01170,drug,Guanethidine,DrugBank,33577,5044,disease,hypertensive disorder,MONDO,C0857121,Hypertensive,0.9662782451589347
indication,indication,17308,DB01170,drug,Guanethidine,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped,C0020538,Hypertension,0.9999999999999998
indication,indication,16854,DB11738,drug,Rilmenidine,DrugBank,33577,5044,disease,hypertensive disorder,MONDO,C0857121,Hypertensive,0.9662782451589347
indication,indication,16854,DB11738,drug,Rilmenidine,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped,C0020538,Hypertension,0.9999999999999998
indication,indication,14217,DB00695,drug,Furosemide,DrugBank,33577,5044,disease,hypertensive disorder,MONDO,C0857121,Hypertensive,0.9662782451589347
indication,indication,14217,DB00695,drug,Furosemide,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped,C0020538,Hypertension,0.9999999999999998
indication,indication,14196,DB00571,drug,Propranolol,DrugBank,33577,5044,disease,hypertensive disorder,MONDO,C0857121,Hypertensive,0.9662782451589347
indication,indication,14196,DB00571,drug,Propranolol,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped,C0020538,Hypertension,0.9999999999999998
indication,indication,14212,DB00661,drug,Verapamil,DrugBank,33577,5044,disease,hypertensive disorder,MONDO,C0857121,Hypertensive,0.9662782451589347
indication,indication,14212,DB00661,drug,Verapamil,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped,C0020538,Hypertension,0.9999999999999998
indication,indication,14168,DB00421,drug,Spironolactone,DrugBank,33577,5044,disease,hypertensive disorder,MONDO,C0857121,Hypertensive,0.9662782451589347
indication,indication,14168,DB00421,drug,Spironolactone,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped,C0020538,Hypertension,0.9999999999999998
indication,indication,15105,DB00521,drug,Carteolol,DrugBank,33577,5044,disease,hypertensive disorder,MONDO,C0857121,Hypertensive,0.9662782451589347
indication,indication,15105,DB00521,drug,Carteolol,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped,C0020538,Hypertension,0.9999999999999998
indication,indication,14142,DB00264,drug,Metoprolol,DrugBank,33577,5044,disease,hypertensive disorder,MONDO,C0857121,Hypertensive,0.9662782451589347
indication,indication,14142,DB00264,drug,Metoprolol,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped,C0020538,Hypertension,0.9999999999999998
indication,indication,15304,DB00629,drug,Guanabenz,DrugBank,33577,5044,disease,hypertensive disorder,MONDO,C0857121,Hypertensive,0.9662782451589347
indication,indication,15304,DB00629,drug,Guanabenz,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped,C0020538,Hypertension,0.9999999999999998
indication,indication,14938,DB00206,drug,Reserpine,DrugBank,33577,5044,disease,hypertensive disorder,MONDO,C0857121,Hypertensive,0.9662782451589347
indication,indication,14938,DB00206,drug,Reserpine,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped,C0020538,Hypertension,0.9999999999999998
indication,indication,14271,DB00982,drug,Isotretinoin,DrugBank,33577,5044,disease,hypertensive disorder,MONDO,C0857121,Hypertensive,0.9662782451589347
indication,indication,14271,DB00982,drug,Isotretinoin,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped,C0020538,Hypertension,0.9999999999999998
indication,indication,14163,DB00343,drug,Diltiazem,DrugBank,33577,5044,disease,hypertensive disorder,MONDO,C0857121,Hypertensive,0.9662782451589347
indication,indication,14163,DB00343,drug,Diltiazem,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped,C0020538,Hypertension,0.9999999999999998
indication,indication,14582,DB01203,drug,Nadolol,DrugBank,33577,5044,disease,hypertensive disorder,MONDO,C0857121,Hypertensive,0.9662782451589347
indication,indication,14582,DB01203,drug,Nadolol,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped,C0020538,Hypertension,0.9999999999999998
indication,indication,14198,DB00575,drug,Clonidine,DrugBank,33577,5044,disease,hypertensive disorder,MONDO,C0857121,Hypertensive,0.9662782451589347
indication,indication,14198,DB00575,drug,Clonidine,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped,C0020538,Hypertension,0.9999999999999998
indication,indication,17304,DB00226,drug,Guanadrel,DrugBank,33577,5044,disease,hypertensive disorder,MONDO,C0857121,Hypertensive,0.9662782451589347
indication,indication,17304,DB00226,drug,Guanadrel,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped,C0020538,Hypertension,0.9999999999999998
indication,indication,15789,DB04831,drug,Tienilic acid,DrugBank,33577,5044,disease,hypertensive disorder,MONDO,C0857121,Hypertensive,0.9662782451589347
indication,indication,15789,DB04831,drug,Tienilic acid,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped,C0020538,Hypertension,0.9999999999999998
indication,indication,20307,DB13435,drug,Endralazine,DrugBank,33577,5044,disease,hypertensive disorder,MONDO,C0857121,Hypertensive,0.9662782451589347
indication,indication,20307,DB13435,drug,Endralazine,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped,C0020538,Hypertension,0.9999999999999998
indication,indication,15295,DB00384,drug,Triamterene,DrugBank,33577,5044,disease,hypertensive disorder,MONDO,C0857121,Hypertensive,0.9662782451589347
indication,indication,15295,DB00384,drug,Triamterene,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped,C0020538,Hypertension,0.9999999999999998
indication,indication,14547,DB01359,drug,Penbutolol,DrugBank,33577,5044,disease,hypertensive disorder,MONDO,C0857121,Hypertensive,0.9662782451589347
indication,indication,14547,DB01359,drug,Penbutolol,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped,C0020538,Hypertension,0.9999999999999998
indication,indication,15855,DB00350,drug,Minoxidil,DrugBank,33577,5044,disease,hypertensive disorder,MONDO,C0857121,Hypertensive,0.9662782451589347
indication,indication,15855,DB00350,drug,Minoxidil,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped,C0020538,Hypertension,0.9999999999999998
indication,indication,15153,DB01193,drug,Acebutolol,DrugBank,33577,5044,disease,hypertensive disorder,MONDO,C0857121,Hypertensive,0.9662782451589347
indication,indication,15153,DB01193,drug,Acebutolol,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped,C0020538,Hypertension,0.9999999999999998
indication,indication,14202,DB00598,drug,Labetalol,DrugBank,33577,5044,disease,hypertensive disorder,MONDO,C0857121,Hypertensive,0.9662782451589347
indication,indication,14202,DB00598,drug,Labetalol,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped,C0020538,Hypertension,0.9999999999999998
indication,indication,20310,DB09206,drug,Trimazosin,DrugBank,33577,5044,disease,hypertensive disorder,MONDO,C0857121,Hypertensive,0.9662782451589347
indication,indication,20310,DB09206,drug,Trimazosin,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped,C0020538,Hypertension,0.9999999999999998
indication,indication,14331,DB01324,drug,Polythiazide,DrugBank,33577,5044,disease,hypertensive disorder,MONDO,C0857121,Hypertensive,0.9662782451589347
indication,indication,14331,DB01324,drug,Polythiazide,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped,C0020538,Hypertension,0.9999999999999998
indication,indication,14792,DB01229,drug,Paclitaxel,DrugBank,33577,5044,disease,hypertensive disorder,MONDO,C0857121,Hypertensive,0.9662782451589347
indication,indication,14792,DB01229,drug,Paclitaxel,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped,C0020538,Hypertension,0.9999999999999998
indication,indication,14162,DB00335,drug,Atenolol,DrugBank,33577,5044,disease,hypertensive disorder,MONDO,C0857121,Hypertensive,0.9662782451589347
indication,indication,14162,DB00335,drug,Atenolol,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped,C0020538,Hypertension,0.9999999999999998
indication,indication,15480,DB01018,drug,Guanfacine,DrugBank,33577,5044,disease,hypertensive disorder,MONDO,C0857121,Hypertensive,0.9662782451589347
indication,indication,15480,DB01018,drug,Guanfacine,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped,C0020538,Hypertension,0.9999999999999998
indication,indication,15095,DB00373,drug,Timolol,DrugBank,33577,5044,disease,hypertensive disorder,MONDO,C0857121,Hypertensive,0.9662782451589347
indication,indication,15095,DB00373,drug,Timolol,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped,C0020538,Hypertension,0.9999999999999998
indication,indication,14240,DB00808,drug,Indapamide,DrugBank,33577,5044,disease,hypertensive disorder,MONDO,C0857121,Hypertensive,0.9662782451589347
indication,indication,14240,DB00808,drug,Indapamide,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped,C0020538,Hypertension,0.9999999999999998
indication,indication,14691,DB00594,drug,Amiloride,DrugBank,33577,5044,disease,hypertensive disorder,MONDO,C0857121,Hypertensive,0.9662782451589347
indication,indication,14691,DB00594,drug,Amiloride,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped,C0020538,Hypertension,0.9999999999999998
indication,indication,16215,DB09279,drug,Fimasartan,DrugBank,33577,5044,disease,hypertensive disorder,MONDO,C0857121,Hypertensive,0.9662782451589347
indication,indication,16215,DB09279,drug,Fimasartan,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped,C0020538,Hypertension,0.9999999999999998
indication,indication,14301,DB01115,drug,Nifedipine,DrugBank,33577,5044,disease,hypertensive disorder,MONDO,C0857121,Hypertensive,0.9662782451589347
indication,indication,14301,DB01115,drug,Nifedipine,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped,C0020538,Hypertension,0.9999999999999998
indication,indication,14539,DB00457,drug,Prazosin,DrugBank,33577,5044,disease,hypertensive disorder,MONDO,C0857121,Hypertensive,0.9662782451589347
indication,indication,14539,DB00457,drug,Prazosin,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped,C0020538,Hypertension,0.9999999999999998
indication,indication,20316,DB13989,drug,Epitizide,DrugBank,33577,5044,disease,hypertensive disorder,MONDO,C0857121,Hypertensive,0.9662782451589347
indication,indication,20316,DB13989,drug,Epitizide,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped,C0020538,Hypertension,0.9999999999999998
indication,indication,17148,DB00524,drug,Metolazone,DrugBank,33577,5044,disease,hypertensive disorder,MONDO,C0857121,Hypertensive,0.9662782451589347
indication,indication,17148,DB00524,drug,Metolazone,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped,C0020538,Hypertension,0.9999999999999998
indication,indication,15609,DB09026,drug,Aliskiren,DrugBank,33577,5044,disease,hypertensive disorder,MONDO,C0857121,Hypertensive,0.9662782451589347
indication,indication,15609,DB09026,drug,Aliskiren,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped,C0020538,Hypertension,0.9999999999999998
indication,indication,14869,DB04920,drug,Clevidipine,DrugBank,33577,5044,disease,hypertensive disorder,MONDO,C0857121,Hypertensive,0.9662782451589347
indication,indication,14869,DB04920,drug,Clevidipine,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped,C0020538,Hypertension,0.9999999999999998
indication,indication,15505,DB01349,drug,Tasosartan,DrugBank,33577,5044,disease,hypertensive disorder,MONDO,C0857121,Hypertensive,0.9662782451589347
indication,indication,15505,DB01349,drug,Tasosartan,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped,C0020538,Hypertension,0.9999999999999998
indication,indication,15221,DB08808,drug,Bupranolol,DrugBank,33577,5044,disease,hypertensive disorder,MONDO,C0857121,Hypertensive,0.9662782451589347
indication,indication,15221,DB08808,drug,Bupranolol,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped,C0020538,Hypertension,0.9999999999999998
